filename,Openness,Vitality,Warmth,Structural_Stability
집_9_남_04243.json,79.85390645189077,75.91,67.414306640625,80.23
집_9_남_04094.json,64.53796701076375,63.76,24.775547301557737,89.59
집_9_남_02586.json,87.68099034229276,71.56,43.224365234375,70.79
집_9_남_04651.json,82.53047203289618,72.65,41.24456149562238,87.26
집_9_남_03796.json,60.50637290298746,65.06,24.110675916249118,85.78
집_8_여_12197.json,52.81291386518756,76.39,77.27783203125,68.22
집_8_여_13581.json,73.98995868682701,66.84,27.518985420347335,80.81
집_9_남_03147.json,70.20295496770768,64.08,33.38720220013262,75.56
집_9_남_02122.json,50.0,87.61,41.15234375,72.5
집_9_남_03713.json,82.05218855218855,71.12,36.98398042929293,88.0
집_9_남_07177.json,65.79951074647803,58.06,24.02661610173156,62.86
집_8_여_12990.json,66.28635116598079,76.73,53.447509765625,68.54
집_9_남_00642.json,71.91097774443611,73.51,38.0302734375,69.43
집_9_남_07293.json,66.33064902095428,62.49,25.373061749914164,79.19
집_9_남_01620.json,78.75995915279078,63.4,29.63197657506634,90.82
집_9_남_00495.json,70.0,80.88,47.51953125,63.9
집_9_남_05118.json,80.92859990576638,62.82,58.7890625,77.04
집_9_남_05980.json,74.344610558905,56.99,19.891381171582207,79.5
집_9_남_01975.json,90.0,63.12,32.126212948817,78.59
집_8_여_13033.json,69.02176363478713,74.28,27.17479452644043,86.38
집_8_여_12456.json,84.46923451149607,82.98,45.529296875,84.36
집_9_남_04780.json,76.76074054389228,65.78,40.197998046875,75.6
집_9_남_07079.json,74.88091328485417,80.2,39.256101676257785,81.18
집_9_남_00248.json,62.61915002560164,70.43,49.97414074500768,79.43
집_9_남_04403.json,73.11827956989248,60.95,50.626220703125,80.51
집_9_남_00761.json,78.77261762570552,75.51,53.54248046875,88.38
집_9_남_00726.json,51.71669185100106,75.33,62.546875,79.01
집_9_남_05250.json,65.2725287668151,70.03,24.834989285333226,81.57
집_9_남_06229.json,76.07454571840242,74.61,27.31089713104359,84.06
집_9_남_01747.json,74.6151724137931,65.75,52.7314453125,87.22
집_9_남_00876.json,60.1298593879239,77.02,52.477681225444584,92.48
집_9_남_05527.json,72.10534952412209,73.66,55.354248046875,89.6
집_9_남_05580.json,75.7923599718772,76.38,50.26953125,71.31
집_9_남_01003.json,57.571432733488066,84.53,23.170028900354833,82.62
집_9_남_00941.json,69.04406597965394,74.89,33.117345419198486,90.26
집_9_남_07086.json,60.0,60.2,43.94580169064891,74.61
집_9_남_05549.json,67.31343283582089,72.72,84.07666015625,62.02
집_9_남_02691.json,59.77159059512,81.42,52.2353515625,81.33
집_9_남_00008.json,64.55373224081478,76.03,50.375,70.21
집_9_남_05263.json,55.89599698063359,71.16,43.390625,84.74
집_9_남_03937.json,53.86786180345196,77.09,51.109619140625,81.48
집_9_남_04326.json,50.17144214294196,78.17,34.300612757474404,91.66
집_9_남_07169.json,57.5694435288344,71.73,30.779990653481192,70.88
집_8_여_13750.json,83.75483281894228,75.46,26.346446137707176,84.02
집_9_남_03319.json,60.339431828629216,63.15,54.67236328125,91.2
집_9_남_03464.json,63.19107210574787,74.44,51.154579815341236,84.67
집_9_남_01292.json,66.29290551538176,60.83,57.0693359375,86.61
집_9_남_04116.json,52.40274827802668,74.28,21.624644748948757,91.2
집_9_남_04797.json,62.10199935723362,75.79,68.0751953125,78.68
집_8_여_13808.json,54.84635612321563,74.89,60.51953125,79.95
집_9_남_05067.json,61.6851002706401,75.18,52.63559256598755,92.16
집_9_남_01395.json,56.49651496514965,57.84,45.26708984375,70.3
집_9_남_07131.json,90.0,68.82,27.93192707653128,89.61
집_9_남_05597.json,85.85797530864198,74.04,59.00341796875,83.03
집_9_남_00485.json,80.0777973976102,64.07,45.325372112261725,84.13
집_9_남_05570.json,59.22754255084939,73.92,12.360610042287838,81.91
집_9_남_02783.json,50.00494314232731,75.02,50.546875,86.07
집_9_남_02141.json,74.86335869681706,76.0,30.323187399109823,36.54
집_9_남_01717.json,55.7277788489766,71.78,42.439208984375,79.51
집_9_남_03412.json,60.0,76.22,68.04107918005204,96.67
집_9_남_01015.json,55.34375359259821,78.46,41.017411143280434,86.03
집_9_남_06750.json,63.36003051106026,75.87,52.843017578125,81.69
집_9_남_05348.json,79.30432960585809,67.24,32.02338676458527,91.95
집_9_남_06154.json,70.86418609801149,57.94,45.87081536547328,83.2
집_9_남_07014.json,67.1672819331123,69.94,24.317664123304098,85.41
집_9_남_05106.json,55.223675604970566,67.31,45.35368787574835,87.22
집_9_남_03864.json,71.64449749218959,63.66,42.36413336082875,71.56
집_8_여_12879.json,70.0,73.15,40.503596976799734,80.16
집_9_남_04925.json,76.86939653951802,71.28,60.217529296875,71.54
집_9_남_03344.json,74.2468609334281,75.72,29.96556905761372,84.79
집_9_남_05284.json,63.24086126052661,68.84,42.246320631134395,90.39
집_9_남_06450.json,80.0,74.75,81.35009765625,57.96
집_9_남_07446.json,62.06223735092952,76.12,63.67726242656644,71.5
집_9_남_00104.json,74.37470655987057,75.33,30.8199810103641,91.45
집_9_남_01163.json,55.44848849451046,82.42,26.51823964364942,94.54
집_9_남_04414.json,84.28818987683684,70.64,49.47509765625,80.51
집_9_남_05290.json,80.0,70.94,21.731404097270666,85.54
집_9_남_04305.json,75.45755085295325,71.45,47.970508874866,56.91
집_9_남_01097.json,50.737214082752615,62.35,43.06977579824064,87.06
집_9_남_02922.json,75.41870019086755,76.01,67.37985315236553,67.76
집_9_남_00291.json,73.03935118332586,57.3,56.28802796512492,90.21
집_8_여_13675.json,64.6103081538042,72.61,42.5166015625,81.76
집_8_여_13174.json,81.05983772819472,76.4,25.78519537192571,89.8
집_9_남_06549.json,72.62599624655732,68.48,42.23688953121382,94.52
집_9_남_01627.json,66.55232633237749,86.19,30.475508019876674,91.33
집_9_남_06302.json,75.06948626699517,74.79,47.6181640625,81.84
집_9_남_03213.json,64.18338360985419,77.93,49.14306640625,78.36
집_9_남_01696.json,72.29190097601965,60.07,24.369839371217722,92.35
